iter	Passed	Remaining
0	1	164
1	2	125
2	3	119
3	4	105
4	5	103
5	6	99
6	7	97
7	8	95
8	9	94
9	10	92
10	11	90
11	12	89
12	13	87
13	14	86
14	15	85
15	16	84
16	17	84
17	18	83
18	19	82
19	20	83
20	21	81
21	22	80
22	23	79
23	24	78
24	25	77
25	26	75
26	27	74
27	28	73
28	29	72
29	30	71
30	31	71
31	32	69
32	33	68
33	34	67
34	35	66
35	36	65
36	37	64
37	38	63
38	39	62
39	40	61
40	41	60
41	42	58
42	43	57
43	44	56
44	45	55
45	46	54
46	47	54
47	48	53
48	50	52
49	51	51
50	52	50
51	53	48
52	54	48
53	55	47
54	55	45
55	56	44
56	57	43
57	58	42
58	59	41
59	60	40
60	61	39
61	63	38
62	64	37
63	65	36
64	66	35
65	67	34
66	68	33
67	69	32
68	70	31
69	71	30
70	72	29
71	73	28
72	75	27
73	76	26
74	77	25
75	78	24
76	79	23
77	80	22
78	81	21
79	82	20
80	83	19
81	84	18
82	85	17
83	86	16
84	87	15
85	88	14
86	89	13
87	90	12
88	91	11
89	92	10
90	93	9
91	94	8
92	95	7
93	96	6
94	97	5
95	98	4
96	99	3
97	100	2
98	101	1
99	102	0
